Page ID,Page name,Disclaimer,Amount spent (EUR),coalition,party,election,coder
110353218242095,Alessio D'Amato,PD Lazio,16104,Centre-left coalition,Pd,Lazio,Fabio
40433567307,UNICEF Italia,UNICEF Italia,9391,,--,,
183047736356,EMERGENCY,EMERGENCY,6792,,--,,
46590675335,Save the Children Italia,Save the Children Italia,5416,,--,,
106000462378083,Francesco Rocca,Rocca Presidente,5130,Centre-right coalition,FdI,Lazio,Luca
53347533412,LAV,LAV Onlus,4901,,--,,
259937814087151,Acea Energia,Acea Energia Spa,4623,,--,,
39993728498,Amnesty International - Italia,Amnesty International Italia,4151,,--,,
73493613024,ActionAid Italia,ActionAid Italia,4116,,--,,
103537362631611,Claudio Marotta,Claudio Marotta,3200,Centre-left coalition,Verdi-Sinistra,Lazio,Luca
410408122372430,Mario Ciarla,Mario Ciarla,2362,Centre-left coalition,Pd,Lazio,Luca
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,2311,,--,,
100111220163064,Marietta Tidei,Marietta Tidei,2305,"Centre coalition",Azione – Italia Viva,Lazio,Luca
126662574668084,Più Europa,Più Europa,2229,Centre-left coalition,Più Europa,Main Party,Luca
355710427861591,Fratelli d'Italia,Fratelli d'Italia,2131,Centre-right coalition,FdI,Main Party,Luca
111385701759852,Presi per i fornelli,Presi per i fornelli,1990,,--,,
35346524498,Greenpeace Italia,Greenpeace Italia,1976,,--,,
1643562069011200,La Valle Degli Orti,Frosta,1970,,,,
760093690827789,Marika Rotondi,Marika Rotondi,1825,Centre-right coalition,FdI,Lazio,Luca
1154159241414027,Pasquale Ciacciarelli,Pasquale Ciacciarelli,1814,Centre-right coalition,Lega,Lazio,Luca
68826971281,Edison,Edison Spa,1675,,--,,
88997912868,WWF Italia,WWF Italia,1663,,--,,
400381673394375,CFC - Crisi Fiscale d'Impresa,CFC Legal,1647,,--,,
1795157064037833,Giorgio Leopardi Vice Sindaco di Ariccia,Giorgio Leopardi Vice Sindaco di Ariccia,1435,Centre-right coalition,Lega,Lazio,Luca
989456744582519,Nicola De Felice,Nicola De Felice,1431,Centre-right coalition,FdI,Lazio,Luca
576664002355828,CIWF Italia,CIWF Italia Onlus,1388,,--,,
516217271771061,Beatrice Scibetta,Maria Beatrice Scibetta,1387,Centre-right coalition,Rocca Presidente,Lazio,Luca
237766776701553,Antonio Pompeo,Antonio Pompeo,1333,Centre-left coalition,Pd,Lazio,Luca
2381325198757919,BallicodellaRocca,Daniela Ballico,1310,Centre-right coalition,Lega,Lazio,Luca
1547732835551716,Antonello,Antonello Iannarilli,1295,Centre-right coalition,FdI,Lazio,Luca
634243093317092,Amoro srl,Amoro Srl,1294,,--,,
1546284712303192,Giancarlo Righini,Luca Quattrocchi mandatario elettorale di Giancarlo Righini,1283,Centre-right coalition,FdI,Lazio,Luca
630856663649596,Regione Lazio,Regione Lazio,1252,,--,,
1803487999879591,Fabrizio Ghera,Fabrizio Ghera,1250,Centre-right coalition,FdI,Lazio,Luca
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,1230,,--,,
1811177225665334,Enel X,Enel X Italia s.r.l.,1226,,--,,
103968169809912,Credem Banca,Finanziato da Credem Banca,1180,,--,,
190688531680806,Alessia Savo,Alessia Savo,1137,,,,
406187203142799,Luciano Nobili,Luciano Nobili,1127,"Centre coalition",Azione – Italia Viva,Lazio,Luca
101323866199223,Giorgio Simeoni,Giorgio Simeoni,1101,,,,
116650827964866,Luigi Abate alle Regionali 2023,Luigi Abate,1084,,,,
178362315106,European Parliament,European Parliament,1083,,--,,
117897147866014,Sergio Tiberti,Sergio Tiberti per il Lazio,1053,,,,
102058888152952,Tony Bruognolo,Tonj Junior Bruognolo,1014,,,,
70212282110,Altroconsumo,Altroconsumo,999,,--,,
516137358517790,Massimiliano Valeriani,Massimiliano Valeriani,979,,,,
115758485045,Luigi Celori,Italica Service,975,,,,
309840349048638,e.on,E.ON Energia,975,,--,,
48677844864,Amref Health Africa - Italia,Amref Health Africa,916,,--,,
1657214567845698,BPER Banca,BPER Banca,916,,--,,
579798038791266,Frosta Italia,Frosta,911,,--,,
102550058686598,Sotto Il Mantello C O V I D - Libro Inchiesta,Sotto il Mantello Covid,893,,--,,
268976423121377,Essere Animali,Essere Animali,884,,--,,
693492780985618,HSI/Italia,HSI/Italia,878,,--,,
120380341313167,Sinistra Italiana,Sinistra Italiana,809,,,,
1014207595271736,Azione contro la Fame Italia,Azione contro la Fame Italia,786,,--,,
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,773,,--,,
150200761667597,Oxfam Italia,Oxfam Italia,756,,--,,
1747150295307148,Andrea Amata,Andrea Amata,740,,,,
100576902850465,Funeral SRL Roma,Funeral S.r.l.,726,,,,
289752771388757,Culligan Italiana,Culligan Italiana,720,,--,,
629728274337878,Forza Italia Tivoli,Forza Italia Tivoli,713,,,,
163912362416300,Francesco Capone,Francesco Capone,678,Centre-left coalition ,Azione – Italia Viva,Lazio,Fabio
113071918732530,Animal Equality Italia,Animal Equality Italia,653,,--,,
281191992492419,Massimiliano Maselli - FDI - Cons. Regione Lazio,Massimiliano Maselli,602,,,,
264302983606606,Stefano Bonaccini,Stefano Bonaccini,593,,--,,
500030287045109,Michela Califano,Michela Califano,573,Centre-left coalition ,Pd,Lazio,Fabio
107141538954722,Rita Padovano,Rita Padovano,573,,,,
517325798340124,Marta Bonafoni,Marta Bonafoni,570,,,,
560366354143176,Rossella Chiusaroli,Rossella Chiusaroli,554,Centre-rightcoalition,Forza Italia,Lazio,Fabio
54779960819,United Nations,United Nations with Facebook Ad Credits,536,,--,,
1010977059051457,Simone Foglio,Publigiovane Srl,523,,,,
353868374653514,Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri,Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri,516,,--,,
107078568376277,Evìta - Consigliera per il V Municipio,Eva Vittoria Cammerino,509,,,,
1962271387367370,Francesca De Vito Consigliere Regione Lazio,Francesca De Vito,502,,,,
100181901679090,Alessandra Troncarelli,Alessandra Troncarelli,500,,,,
113459848303792,Iacovone Pier Luigi,Pier Luigi Iacovone,487,,,,
832603073591251,Elena Palazzo,Elena Palazzo,482,,,,
112863554395190,Osvaldo Agresti M5S Itri,Osvaldo Agresti M5S Itri,481,,,,
212519685575,Fondazione AIRC per la Ricerca sul Cancro,Fondazione AIRC per la Ricerca sul cancro,473,,--,,
295129913955200,Aboca,Aboca,471,,--,,
405956940133035,Sosventurini,Nicoletta Grifone Mandatario elettorale di Antonfrancesco Venturini,470,,,,
284515247529,Corriere della Sera,Corriere della Sera,468,,--,,
622450334886617,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,423,,--,,
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,413,,--,,
107356064962347,Hai Prenotato Vero?,casiraghi greco srl,399,,--,,
108895805815369,alfemminile.com,Alfemminile,394,,--,,
105554802430404,Simona Saraceno - Candidata Consiglio Regionale Lazio,Simona Saraceno - Candidata Consiglio Regionale Lazio,392,,,,
251389298296527,Randstad Italia,Randstad Italia Spa,391,,--,,
319696888048805,Confronti,Confronti,387,,,,
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,381,,--,,
686689721540002,Volt Italia,Volt Italia - Unisciti al Cambiamento,378,,,,
110372232331805,Mission Bambini,Mission Bambini,377,,--,,
104727538126958,The Watcher Post,The Watcher Post,375,,--,,
1023449604336645,Cies Onlus,Cies Onlus,374,,--,,
113106117208538,Mauro Antonini,Mauro Antonini,373,,,,
110668157739443,PSI - Cassino,Fabio Iannattone,365,,,,
105834225470742,Andrea Torre,Andrea Torre,363,,,,
496283490906822,Valerio Novelli Consigliere Regione Lazio,Valerio Novelli,356,,,,
134668170584671,Sara Ciasco Roma,Ciasco Sara,355,,,,
107700017487562,Luigi Parisella,Luigi Parisella,350,,,,
80761643174,Fondazione Umberto Veronesi,Fondazione Umberto Veronesi,345,,--,,
100984078993275,Vittorio Sambucci,Vittorio Sambucci in Regione,344,,,,
102054172729462,AFOR,AFOR,344,,,,
101284482868895,Polo Progressista,Polo Progressista,338,,,,
113991021580239,Chiara Iannarelli,Iannarelli Maria Chiara,327,,,,
178195847617422,Libero Mazzaroppi - Sindaco di Aquino,Libero Mazzaroppi,325,,,,
1382783485324942,San Miguel,These ads ran without a disclaimer,324,,--,,
101158695138594,SOS Climate Change,UNHCR,322,,--,,
103889315933510,Flavio Cera,Flavio Cera,321,,,,
2437667169610771,Avvocato Federico Amato,Avvocato Federico Amato,320,,,,
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,315,,--,,
131887960826264,Carlo Calenda,Azione,310,"Centre coalition",Azione – Italia Viva,Main Party,Luca
109280955368703,Federico Petitti,Federico Petitti,308,,,,
253657775240887,Pulsee,Axpo Italia,305,,--,,
347006748786906,AIEF,AIEF Associazione Italiana Educatori Finanziari,303,,--,,
113900991590484,Nadia Belli,Nadia Belli,303,,,,
116768354642328,Alessandro Spalletta,Morris International Consulting,300,,,,
269804456695686,MSDsalute,MSD Italia,299,,--,,
92505448987,CGIL Confederazione Generale Italiana del Lavoro,CGIL Confederazione Generale Italiana del Lavoro,298,,--,,
142589879147197,Europa Verde - Verdi,Europa Verde,291,Centre-left coalition,Europa Verde,Lombardy,Fabio
1270803046282498,Emanuela Zappone,Emanuela Zappone,290,,,,
1953765388272707,Luca Andreassi,Luca Andreassi,286,,,,
104595358855645,Chiara Frontini,Chiara Frontini,282,,,,
102776504903590,Claudio Parroccini,Claudio Parroccini,278,,,,
107925831095647,Franco Spoto,Franco Spoto,278,,,,
173816026723623,Salvatore La Penna,Salvatore La Penna,277,,,,
100751688709532,Emanuele Pinelli,Emanuele Pinelli,275,,,,
252209364960998,Tutta un'altra storia - Guidonia,Tuttaunaltrastoria,274,,,,
112930235021265,Lista Civica D'Amato Presidente,LISTA CIVICA D’AMATO PRESIDENTE,271,,,,
33327548320,Croce Rossa Italiana - Italian Red Cross,Croce Rossa Italiana - Italian Red Cross,270,,--,,
1770652439910647,Laura Corrotti,Laura Corrotti,270,,,,
174312339435062,Alternativa Popolare,Alternativa Popolare,269,Centre-right coalition,Alternativa Popolare,Main Party,Fabio
464466844003620,Enrica Onorati,Enrica Onorati,268,,,,
1410474395723679,Petizioni.it,Petizioni.it,266,,--,,
410043459011308,Fondazione IEO Monzino,Fondazione IEO-MONZINO,259,,--,,
101221479103,Fondazione Progetto Arca Onlus,Fondazione Progetto Arca Onlus,258,,--,,
864692013564177,Carmela Cassetta,Carmela Cassetta,254,,,,
102000366519353,EIPASS,Certipass srl,253,,--,,
109491080460389,Bambine Non Spose,WeWorld Onlus,250,,--,,
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,250,,--,,
508421236205622,ANAFE - Confindustria,ANAFE - Confindustria,250,,,,
100512382575024,Associazione Tutela Escursionisti e Scialpinisti,Pierpaolo Mori,249,,,,
112689558380968,Luciano Crea,Francesco Persampieri,244,,,,
103181206011473,Pierluca Dionisi,Pierluca Dionisi,244,,,,
39595445128,Alessandro Capriccioli,Radicali Italiani,243,,,,
141957834788,ArciGay Roma,ArciGay Roma,243,,,,
129614623725639,Cesvi Onlus,Cesvi Fondazione Onlus,243,,--,,
865166100210938,Bosch Italia,Bosch Italia,242,,--,,
39595445128,Alessandro Capriccioli,Alessandro Capriccioli,237,,,,
100934735949479,Simone D'Aversa,Simone D'Aversa,236,,,,
182631478421403,Rio Mare,Bolton Food,231,,--,,
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,These ads ran without a disclaimer,227,,--,,
667483386685540,Silvia Sardone,Silvia Sardone,226,Centre-right coalition,Lega,Main Party,Luca
112287268420692,Luca Ventura,Luca Ventura,225,,,,
101691915748398,Adriana Calì - M5S,Adriana Cali,225,,,,
321222581334497,Daniele Giannini,Daniele Giannini,224,,,,
103843386353847,Studio Pagano & Partners,Monica Pagano,223,,--,,
102808527862361,Uniti per la Siria,WeWorld Onlus,223,,--,,
101898776545732,Inapp,INAPP Istituto Nazionale per l’Analisi delle Politiche Pubbliche,212,,--,,
105860394249008,stefano.marino.716,Stefano Marino,212,,,,
