Page ID,Page name,Disclaimer,Amount spent (EUR),coalition,party,election,coder
2079368948955135,FS News,FSNews,209,,--,,
1093222784082778,World Vision Italia,World Vision Italia Onlus,209,,--,,
104544555621560,Ewiva,Andrea Manchisi,207,,--,,
152252480281123,Emma Cavallucci,Emma Cavallucci,207,,,,
366568029646,COOPI,COOPI,207,,--,,
114893824829482,Stella Gemottine Wester,Stefano D'Agostino,205,,,,
1031742523521553,Caaf Cgil Lazio,Caaf Cgil di Roma e Lazio,205,,,,
870620603112852,Veronica Di Ruscio,Daniele Urbani,203,,,,
110327701926480,IoCambio,io Cambio,202,,--,,
104841132024964,Noi con l'Italia - Roma,Noi con l'Italia,201,,,,
101206152818001,SamuelBattagliniufficiale,SamuelBattagliniufficiale,200,,,,
101802449234479,Lorenza Lei,Lorenza Lei,199,,,,
254334631309835,Daniele Sabatini,Daniele Sabatini,190,,,,
107492342616216,Legambiente Onlus,Legambiente Onlus,189,,--,,
160406350666170,Eurodeputati PD,EurodeputatiPD,189,Centre-left coalition,Pd,Main Party,Luca
299584710061488,WeWorld Onlus,WeWorld Onlus,188,,--,,
232017336910584,Rivista Il Borghese,Casa Editrice Pagine,187,,--,,
105517781627039,RM scuola - Università,RM Scuola Campus,187,,--,,
808036832730810,Antonella Gobbo,Antonella Gobbo,186,,,,
428689704565685,Luigi Maccaro,Luigi Maccaro,184,,,,
8792700660,Istituto Bruno Leoni,Istituto Bruno Leoni,182,,--,,
982543895104556,Emiliano Minnucci,Emiliano Minnucci,181,,,,
107910787697646,carmelacassetta,Chiara Farci,180,,,,
101410635610260,Giovanni Monterubbiano,Giovanni Monterubbiano,180,,,,
2794426070573094,Up2You,Up2You,176,,--,,
106318735428971,Intersos Lab - Centro di Formazione,INTERSOS Lab,176,,,,
2117082058328480,Riccardo Travaglini,Riccardo Travaglini,174,,,,
150301155010350,Intersos,Intersos,168,,--,,
932719406850693,UNASF Unione Nazionale Sicurezza e Formazione Conflavoro PMI,UNASF Conflavoro PMI,167,,,,
106199837902239,Innesti,Caviro sca,162,,--,,
385509022061328,Acqua per Tutti,WeWorld Onlus,153,,--,,
142331079621154,RESET,RESET S.r.l.,149,,--,,
107804334102594,Forza Italia Roma Capitale,Forza Italia Roma,148,,,,
111832208899724,Il Sole 24 ORE - Diritto24,Il Sole 24 ORE - Diritto24,148,,--,,
1692232124412053,Protezione Sociale Italiana,Protezione Sociale Italiana,146,,,,
121622734528770,Eidos Communication,Eidos Communication,145,,,,
470320123103435,NOW,Mariaenrica Barile,142,,--,,
137683760184293,Arcangelo Palmacci,Arcangelo Palmacci,141,,,,
584366771628668,Federico Carnevale,Federico Carnevale,140,,,,
451419891563905,Pro Vita & Famiglia Onlus,Pro Vita & Famiglia Onlus,140,,,,
433131500462620,Enzo D'Antò - M5S,Vincenzo D'anto',140,,,,
138657856540167,LINDA  GEAN - Regione Lazio 2023,LINDA  GEAN - Regione Lazio 2023,139,,,,
1955194758108564,Massimiliano Quadrini,Massimiliano Quadrini,139,,,,
117213200277268,Muzio Annalisa,Annalisa Muzio,135,,,,
446699502145394,Marco Silvestroni,Marco Silvestroni,134,,,,
325437890904836,Silvana Denicolò - M5S,Silvana Denicolò - M5S,133,,,,
431290603608804,Enrica Segneri,Enrica Segneri,132,,,,
108285855506670,Dario Cillerai,Dario Cillerai,132,,,,
104720879190199,Fabio De Lillo - Elezioni 2023,Fabio De Lillo,129,,,,
150144325048677,Il Sole 24 ORE - Enti locali e Edilizia,Il Sole 24 ORE - Enti locali e Edilizia,127,,--,,
312933172093226,Associazione Luca Coscioni,Associazione Luca Coscioni,127,,,,
378568295634789,Il Sole 24 ORE - Fisco,Il Sole 24 ORE - Fisco,126,,--,,
143185232391413,Il Sole 24 ORE - Immobili e Condominio,Il Sole 24 ORE - Immobili e Condominio,122,,--,,
783815115084654,Gianpaolo Sacconi,Gianpaolo Sacconi,122,,,,
182120865170178,Gianluigi Paragone,Gianluigi Paragone,122,,--,,
183895042348653,Più Europa Rieti,Marco Giordani,121,,,,
1546284712303192,Giancarlo Righini,Comitato per Giancarlo Righini Candidato al Consiglio Regionale del Lazio,117,Centre-right coalition,FdI,Lazio,Luca
223175114447090,Sant'Egidio,Sant'Egidio,117,,,,
453751868072095,W la Dislessia,AllenaMente Società Cooperativa Sociale,117,,,,
557773551234843,Schroders Italy,Schroder Investment Management (Europe) S.A. - Succursale Italiana,116,,--,,
104112951913918,End The Slaughter Age,Filippo Maria Borsellino,115,,,,
109155238729724,Paolo Bianchini,Paolo Bianchini,115,,,,
1545240805698926,Cristian Leccese,Cristian Leccese,115,,,,
200702630390075,Officina Stampa,L'Osservatore d'Italia,114,,--,,
105035504484317,Politicamente Incoerenti,Andrea Di Santo,114,,,,
598765886892277,Forever Bambù Società Benefit,Forever Bambù,114,,,,
101065682891918,Gianluca Bolognesi,Gianluca Bolognesi,112,,,,
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella S.r.l.,112,,,,
203867720177855,Antonio Di Rocco,Antonio Di Rocco,111,,,,
112930235021265,Lista Civica D'Amato Presidente,Lista Civica D'Amato Presidente,110,,,,
186799161499691,Libraccio,D.M.B. S.r.l.,110,,,,
153611521935486,Claudio Galli Medico MG Lazio,Claudio Galli Medico MG Lazio,107,Centre-left coalition,Solidary Democracy,Lazio,Fabio
627613091219368,Marco Bonini,Marco Bonini,107,Centre-right coalition,Lega,Lazio,Fabio
254382474630730,Antonio Iannone,Antonio Iannone,107,,,,
102766046054805,Nader Al Khatib Candidato Regione Lazio,Nader Al Khatib,106,Five Star Movement coalition,MS5,Lazio,Fabio
169042736456594,All Out,All Out,105,,--,,
1568184330161608,WeSchool,WeSchool s.r.l.,105,,,,
45408828511,OIPA Italia,OIPA,105,,,,
101076072872814,Daniele Previtali,Daniele Previtali,105,Centre-left,Verdi Sinistra,Lazio,Fabio
101307182867770,Renzo,Renzo Tiberi,104,Centre-left,Pd,Lazio,Fabio
587213524737852,WebSalute - Vvox,WebSalute,102,,,,
57335173611,Città di Modena,Città di Modena,101,,,,
272801896733406,USR PLUS Italia,Partidul Uniunea Salvati Romania,101,,--,,
441812505843728,Corepla,Corepla,≤100,,,,
107635678843802,Enrico Tiero,Enrico Tiero personaggio politico,≤100,,,,
100241359498068,Forza Italia Coordinamento Velletri,Forza Italia Coordinamento Velletri,≤100,,,,
521821997876218,Svetlana Celli,Svetlana Celli,≤100,,,,
112991581685199,Avvocato 5.0,Alessandro Priori,≤100,,,,
107993528707993,Monica Bellisario,Monica Bellisario,≤100,,,,
661243440591428,Raffaella Paita,Raffaella Paita,≤100,,,,
218932788177609,Soleterre Onlus,Soleterre Onlus,≤100,,,,
379352219185534,Francesco Puppi,ENGIE Italia,≤100,,,,
228770323835619,Zanichelli,Zanichelli editore Spa,≤100,,,,
103802239285610,Giampaolo Bassi,Giampaolo Bassi,≤100,,,,
141019746076225,Sorgenia,Sorgenia,≤100,,,,
413276709052446,Acqua Orsini,Acqua Orsini,≤100,,,,
104515779204773,Beniamino Colantuono,Beniamino Colantuono,≤100,,,,
267986593678568,Fabrizio Pignalberi,Fabrizio Pignalberi,≤100,,,,
1480937442190427,Tommaso Foti,Tommaso Foti,≤100,,,,
609529512482095,Amate Sponde,Anna Maria Grimaldi,≤100,,,,
100128926330298,Cirfood District,CIRFOOD sc,≤100,,,,
105816439082707,Civica Rocca Presidente VT,Gabriele Anselmi,≤100,,,,
503567226377662,"Centro Narconon ""Il Gabbiano""","Centro Narconon ""Il Gabbiano""",≤100,,,,
169013663273776,Alleanza Assicurazioni,Alleanza Assicurazioni,≤100,,,,
583229838437691,Conflavoro PMI,Conflavoro PMI,≤100,,,,
147451502073583,In Migrazione,In Migrazione,≤100,,,,
107779855294378,L'Identità,L'Identità,≤100,,,,
106000462378083,Francesco Rocca,Raffaele Ponticiello,≤100,,,,
100725935496567,Azione Viterbo,Associazione Azione,≤100,,,,
496204487084822,Antonello Aurigemma,Antonioaurigemma,≤100,,,,
132707500076838,Il Fatto Quotidiano,SEIF S.p.A. – Società Editoriale Il Fatto Spa,≤100,,,,
1451532488198190,Alba Srl,Alba Srl,≤100,,,,
101459616144161,UDC Latina,Mario Donato Tortorelli,≤100,,,,
2797201316986482,Annalisa Tardino,Annalisa Tardino,≤100,,,,
172718099490199,DOKITA,Dokita onlus,≤100,,,,
310626072674043,UnipolSai Corporate,UnipolSai Corporate,≤100,,,,
1668922680093325,Propensione.it,Propensione.it,≤100,,,,
583401678405077,Cristiana Avenali,Cristiana Avenali,≤100,,,,
112020941497075,Generazione EU,Generazione EU,≤100,,,,
377901329389619,Ener2Crowd,Ener2Crowd,≤100,,,,
239696222820040,Plan International Italia,Plan International Italia,≤100,,,,
112606511719320,Fabio Piattoni,Fabio Piattoni,≤100,,,,
2245774708985761,Piersanti Davide,Davide Piersanti,≤100,,,,
105796680963553,Gruppo Editoriale La Scuola SEI,Editrice La Scuola,≤100,,,,
100644409468543,Fondazione Operation Smile Italia ETS,Fondazione Operation Smile Italia,≤100,,,,
1499266627040054,Roberto Cuccioletta,EFFECI S.r.l.,≤100,,,,
195751854353333,Lucia Matita,Lucia Matita,≤100,,,,
105018755820540,Manuela Fuso Candidata Regione Lazio,Samir Abdelkhalik Omran Mohamed,≤100,,,,
104800568170989,Chora Media,Chora Media,≤100,,,,
116181541819083,Nicola Fratoianni,Nicola Fratoianni,≤100,,,,
375882802451994,Capitalfin,Capitalfin,≤100,,,,
182266801912488,Massimiliano Smeriglio,Massimiliano Smeriglio,≤100,,,,
473643636061643,"EdiSicilia dove arte, cultura e bellezza si incontrano",Rosario Cassaniti,≤100,,,,
616493548456962,Stefania Stravato,Stefania Stravato,≤100,,,,
111215267090745,Re Soil Foundation,ReSoilFoundation,≤100,,,,
157463237749900,Olmedo Mobility Division,Olmedo Special Vehicles S.p.A,≤100,,,,
110741885150424,Valore Civico Pomezia,Valore Civico Pomezia,≤100,,,,
946455705501090,Italian Digital Revolution - AIDR,Aidr,≤100,,,,
101764407875365,NeN,NeN Energia,≤100,,,,
1546284712303192,Giancarlo Righini,Giancarlo Righini,≤100,,,,
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100,,,,
156980270981618,Fondazione Mondo Digitale,Fondazione Mondo Digitale,≤100,,,,
1448101522079687,Onlymoso,Onlymoso,≤100,,,,
73493613024,ActionAid Italia,These ads ran without a disclaimer,≤100,,,,
107757982215787,Tiziana Pepe,Forza Italia Coordinamento Velletri,≤100,,,,
105296361571631,FGS srl,FGS srl,≤100,,,,
103340461137284,Valeria Campagna,Valeria Campagna,≤100,,,,
2059411634324435,Medici del Mondo,Medici del Mondo,≤100,,,,
300159246670035,SCOSSE - Associazione di Promozione Sociale,SCOSSE,≤100,,,,
153574674705426,AVSI,AVSI,≤100,,,,
469381559808559,ITLAS pavimenti in legno,Itlas srl,≤100,,,,
59374667427,Alice for Children,Alice for Children,≤100,,,,
142589879147197,Europa Verde - Verdi,Gianfranco Mascia,≤100,,,,
409442125822365,Studio Legale Lombardo,Studio Legale Lombardo,≤100,,,,
1942760395965996,Passaggio al Bosco Edizioni,Passaggio al Bosco Edizioni,≤100,,,,
153967571694403,Led Italia,LED Italia S.r.l,≤100,,,,
168812239875894,CLAUDIO TOFANI (Regista),Claudio Tofani,≤100,,,,
149332780118,Aboca Museum,Aboca Museum,≤100,,,,
103456492661053,Lorenzo Sciarretta,Lorenzo Sciarretta,≤100,,,,
188120904568067,Comedy Central IT,Comedy Central IT,≤100,,,,
106276124655080,Food Wave,Pomilio Blumm,≤100,,,,
673109029772554,Marco Campomenosi,Marco Campomenosi,≤100,,,,
674115289288309,Silenzi e falsità della stampa italiana,MFM,≤100,,,,
1534292720039481,Gruppo Caviro,Gruppo Caviro,≤100,,,,
396512120735562,CIRFOOD,CIRFOOD sc,≤100,,,,
1635274383416590,Aurelio in Comune,Aurelio in Comune,≤100,,,,
791707730845440,Win the Bank - Tutto Quello Che Ti Serve Per Ottenere Credito,Win the Bank - Tutto Quello Che Ti Serve Per Ottenere Credito,≤100,,,,
339966276040228,CMCC Climate,CMCC - Centro Euro-Mediterraneo sui Cambiamenti Climatici,≤100,,,,
104787715859666,Jacopo Nannini-capolista PSI elezioni regionali Lazio,Jacopomaria Nannini,≤100,,,,
1562648707302483,Amedeo Ciaccheri,Amedeo Ciaccheri,≤100,,,,
103808931391041,Zoeme,Emanuele Menicocci,≤100,,,,
107217741509533,Loreto Marcelli Consiglio Regione Lazio,Loreto Marcelli,≤100,,,,
1393266557641903,Africa Rivista,Africa Rivista,≤100,,,,
684051725035141,Csoa Spartaco,Csoa Spartaco,≤100,,,,
510686362454111,Luca Bergamo,Luca Bergamo,≤100,,,,
162764457111560,Dynamo Camp,Fondazione Dynamo Camp Onlus,≤100,,,,
112221911380832,InvEu,Agrifondi srl,≤100,,,,
356885398414592,Arcigay Castelli Romani,ArciGay Roma,≤100,,,,
196649307086978,UICI - sezione di Roma,UNIONE ITALIANA CIECHI SEZIONE TERRITORIALE DI ROMA ONLUS APS,≤100,,,,
180275292801010,Fratelli d'Italia Camera,"Gruppo Parlamentare della Camera dei Deputati ""Fratelli D'Italia""",≤100,,,,
121702741251975,Luciano Ciocchetti,Luciano Ciocchetti,≤100,,,,
2270196856358992,PHYD,PHYD,≤100,,,,
218671751661739,Fondazione Villa Maraini,Stefano Spada,≤100,,,,
1386903218241396,Arcigay Latina - Seicomesei,ArciGay Roma,≤100,,,,
180329672596502,Fratelli d'Italia Senato,Fratelli d'Italia Senato,≤100,,,,
124450774313284,Etica Sgr,Etica Sgr,≤100,,,,
408718273286772,Salvatore De Meo,Salvatore De Meo,≤100,,,,
190766780967976,Geopolitica.info,Geopolitica.info,≤100,,,,
113858941593973,Sonia Modica Cittadina,Sonia Modica,≤100,,,,
577383699442272,Paolo Borchia,Paolo Borchia,≤100,,,,
105435282440661,Andrea Querqui,Ilaria De Nardis,≤100,,,,
202326409808772,Tonno Mareblu,Mareblu,≤100,,,,
115351667829149,Franco De Angelis,Franco De Angelis,≤100,,,,
108488684707444,Bergamo Brescia 2023,Comitato Bergamo Brescia 2023,≤100,,,,
858330457856066,Jacopo Coghe,Jacopo Coghe,≤100,,,,
1978455912414269,Micol Grasselli,Marcello De Nino,≤100,,,,
110113567245895,Leonardo Valle,These ads ran without a disclaimer,≤100,,,,
1403779849925484,Enzo Maraio,Enzo Maraio,≤100,,,,
2157706944445944,Azione,Azione,≤100,,,,
19050847431,Terra,Terra!,≤100,,,,
997090593770662,"Arcigay ""Stonewall"" Frosinone",ArciGay Roma,≤100,,,,
205094896368318,Albatros,Albatros S.r.l.s.,≤100,,,,
81698998693,Maurizio Lupi,Noi con l'Italia,≤100,,,,
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,≤100,,,,
367042640294086,Luca Ciriani,Luca Ciriani,≤100,,,,
114051826707626,Friedrich-Ebert-Stiftung Italien,Friedrich-Ebert-Stiftung Italien,≤100,,,,
793211171059364,Francescani per la Vita,Francescani per la Vita,≤100,,,,
104691614211820,VOSS Fluid GmbH,These ads ran without a disclaimer,≤100,,,,
303531599691398,Mariastella Gelmini,Mariastella Gelmini,≤100,,,,
1506899926282450,Fondazione UNA,Fondazione UNA Onlus,≤100,,,,
268911749952654,Alfonso Luigi Marra,Alfonso Luigi Marra,≤100,,,,
621188454669130,I Diavoli,I Diavoli,≤100,,,,
