Page ID,Facebook Page,Ad Library,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library,coalition,party,election,coder,Spend Money in Lombardia,Spend Money in Lazio
40433567307,https://www.facebook.com/40433567307,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=40433567307&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,UNICEF Italia,UNICEF Italia,75898,199,,--,,,TRUE,TRUE
183047736356,https://www.facebook.com/183047736356,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=183047736356&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,EMERGENCY,EMERGENCY,55276,21,,--,,,TRUE,TRUE
100180958902602,https://www.facebook.com/100180958902602,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=100180958902602&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Letizia Moratti,Letizia Moratti,51193,275,"Centre coalition",Azione – Italia Viva,Lombardy,Fabio,TRUE,FALSE
46590675335,https://www.facebook.com/46590675335,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=46590675335&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Save the Children Italia,Save the Children Italia,45816,61,,--,,,TRUE,TRUE
53347533412,https://www.facebook.com/53347533412,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=53347533412&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,LAV,LAV Onlus,41416,74,,--,,,TRUE,TRUE
73493613024,https://www.facebook.com/73493613024,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=73493613024&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,ActionAid Italia,ActionAid Italia,31677,118,,--,,,TRUE,TRUE
39993728498,https://www.facebook.com/39993728498,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=39993728498&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Amnesty International - Italia,Amnesty International Italia,31066,44,,--,,,TRUE,TRUE
111385701759852,https://www.facebook.com/111385701759852,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=111385701759852&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Presi per i fornelli,Presi per i fornelli,20275,150,,--,,,TRUE,TRUE
1.64356E+15,https://www.facebook.com/1.64356E+15,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=1.64356E+15&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,La Valle Degli Orti,Frosta,18951,7,,--,,,FALSE,FALSE
194123260626794,https://www.facebook.com/194123260626794,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=194123260626794&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Pierfrancesco Majorino,Pierfrancesco Majorino,18402,1703,Centre-left coalition,Pd,Lombardy,Fabio,TRUE,FALSE
65737832194,https://www.facebook.com/65737832194,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=65737832194&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Medici Senza Frontiere,Medici Senza Frontiere,16255,25,,--,,,TRUE,TRUE
110353218242095,https://www.facebook.com/110353218242095,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=110353218242095&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Alessio D'Amato,PD Lazio,16104,82,Centre-left coalition,Pd,Lazio,Fabio,FALSE,TRUE
68826971281,https://www.facebook.com/68826971281,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=68826971281&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Edison,Edison Spa,15600,26,,--,,,TRUE,TRUE
557425247931689,https://www.facebook.com/557425247931689,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=557425247931689&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Attilio Fontana,Attilio Fontana,15559,134,Centre-right coalition,Lega,Lombardy,Fabio,TRUE,FALSE
35346524498,https://www.facebook.com/35346524498,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=35346524498&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Greenpeace Italia,Greenpeace Italia,15191,175,,--,,,TRUE,TRUE
88997912868,https://www.facebook.com/88997912868,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=88997912868&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,WWF Italia,WWF Italia,13294,117,,--,,,TRUE,TRUE
111665598389418,https://www.facebook.com/111665598389418,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=111665598389418&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Lista Letizia Moratti Presidente,Lista Letizia Moratti Presidente,12983,19,"Centre coalition",Azione – Italia Viva,Lombardy,Fabio,TRUE,FALSE
48677844864,https://www.facebook.com/48677844864,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=48677844864&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Amref Health Africa - Italia,Amref Health Africa - Italia,12832,18,,--,,,TRUE,TRUE
1811177225665334,https://www.facebook.com/1811177225665334,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=1811177225665334&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Enel X,Enel X Italia s.r.l.,12044,22,,--,,,TRUE,TRUE
103968169809912,https://www.facebook.com/103968169809912,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=103968169809912&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Credem Banca,Finanziato da Credem Banca,11950,14,,--,,,TRUE,TRUE
400381673394375,https://www.facebook.com/400381673394375,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=400381673394375&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,CFC - Crisi Fiscale d'Impresa,CFC Legal,11676,53,,--,,,TRUE,TRUE
