Page ID,,,Page name,Disclaimer,Amount spent (EUR),coalition,party,election,coder
100180958902602,https://www.facebook.com/100180958902602,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=100180958902602&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Letizia Moratti,Letizia Moratti,49907,"Centre coalition",Azione – Italia Viva,Lombardy,Fabio
194123260626794,https://www.facebook.com/194123260626794,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=194123260626794&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Pierfrancesco Majorino,Pierfrancesco Majorino,18339,Centre-left coalition,Pd,Lombardy,Fabio
40433567307,https://www.facebook.com/40433567307,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=40433567307&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,UNICEF Italia,UNICEF Italia,16913,,--,,
557425247931689,https://www.facebook.com/557425247931689,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=557425247931689&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Attilio Fontana,Attilio Fontana,14839,Centre-right coalition,Lega,Lombardy,Fabio
111665598389418,https://www.facebook.com/111665598389418,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=111665598389418&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Lista Letizia Moratti Presidente,Lista Letizia Moratti Presidente,12115,"Centre coalition",Azione – Italia Viva,Lombardy,Fabio
183047736356,https://www.facebook.com/183047736356,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=183047736356&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,EMERGENCY,EMERGENCY,9919,,--,,
53347533412,https://www.facebook.com/53347533412,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=53347533412&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,LAV,LAV Onlus,6842,,--,,
46590675335,https://www.facebook.com/46590675335,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=46590675335&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Save the Children Italia,Save the Children Italia,6426,,--,,
459381904121368,https://www.facebook.com/459381904121368,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=459381904121368&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Pietro Bussolati,Pietro Bussolati,5714,Centre-left coalition,Pd,Lombardy,Luca
39993728498,https://www.facebook.com/39993728498,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=IT&view_all_page_id=39993728498&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Amnesty International - Italia,Amnesty International Italia,5184,,--,,
